 SPAM [BAK::ObjectIndex] ItmIndex:0 Object: {  fl: 0 imgIndex: 0 lvl: 0 val: 0 swing (0, 0) thrust (0, 0) size: 0 None Unspecified Cat: (0)[] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:36 Object: { Quarrels fl: 8800 imgIndex: 36 lvl: 1 val: 120 swing (3, 0) thrust (0, 0) size: 1 None Unspecified Cat: (100)[CrossbowRelated] useSound: 0 times: 0 stackSize: 25 defaultStackSize: 25 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:37 Object: { Elven Quarrels fl: 8800 imgIndex: 37 lvl: 1 val: 1750 swing (9, 15) thrust (0, 0) size: 1 None Unspecified Cat: (100)[CrossbowRelated] useSound: 0 times: 0 stackSize: 25 defaultStackSize: 25 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:38 Object: { Tsurani Quarrels fl: 8800 imgIndex: 38 lvl: 1 val: 500 swing (7, -5) thrust (0, 0) size: 1 None Unspecified Cat: (100)[CrossbowRelated] useSound: 0 times: 0 stackSize: 25 defaultStackSize: 25 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:39 Object: { Poisoned Quarrels fl: 8800 imgIndex: 39 lvl: 1 val: 650 swing (7, -5) thrust (0, 0) size: 1 None Unspecified Cat: (100)[CrossbowRelated] useSound: 0 times: 0 stackSize: 25 defaultStackSize: 25 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:40 Object: { Poisoned Elven Quarrels fl: 8800 imgIndex: 40 lvl: 1 val: 2250 swing (15, 10) thrust (0, 0) size: 1 None Unspecified Cat: (100)[CrossbowRelated] useSound: 0 times: 0 stackSize: 25 defaultStackSize: 25 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:41 Object: { Poisoned Tsurani Quarrels fl: 8800 imgIndex: 41 lvl: 1 val: 1000 swing (14, -10) thrust (0, 0) size: 1 None Unspecified Cat: (100)[CrossbowRelated] useSound: 0 times: 0 stackSize: 25 defaultStackSize: 25 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:42 Object: { Flaming Quarrels fl: 8800 imgIndex: 42 lvl: 1 val: 3000 swing (25, -10) thrust (0, 0) size: 1 None Unspecified Cat: (100)[CrossbowRelated] useSound: 0 times: 0 stackSize: 25 defaultStackSize: 25 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:43 Object: { Enchanted Quarrels fl: 8800 imgIndex: 43 lvl: 1 val: 4000 swing (30, 20) thrust (0, 0) size: 1 None Unspecified Cat: (100)[CrossbowRelated] useSound: 0 times: 0 stackSize: 25 defaultStackSize: 25 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:44 Object: { Dragon Plate Armor fl: 1008 imgIndex: 44 lvl: 1 val: 12500 swing (0, 55) thrust (0, 0) size: 4 Human Armor Cat: (200)[Armor] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 40 df1: 2 minCond: 50}
 SPAM [BAK::ObjectIndex] ItmIndex:45 Object: { Euliliko Armor fl: 1008 imgIndex: 45 lvl: 1 val: 4750 swing (0, 30) thrust (0, 0) size: 4 Tsurani Armor Cat: (200)[Armor] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 60 df1: 4 minCond: 30}
 SPAM [BAK::ObjectIndex] ItmIndex:46 Object: { Elven Armor fl: 1008 imgIndex: 46 lvl: 1 val: 2250 swing (0, 25) thrust (0, 0) size: 4 Elf Armor Cat: (200)[Armor] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 70 df1: 5 minCond: 20}
 SPAM [BAK::ObjectIndex] ItmIndex:47 Object: { Grey Tower Plate fl: 100a imgIndex: 47 lvl: 1 val: 6250 swing (0, 40) thrust (0, 0) size: 4 Dwarf Armor Cat: (200)[Armor] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 50 df1: 3 minCond: 40}
 SPAM [BAK::ObjectIndex] ItmIndex:48 Object: { Standard Kingdom Armor fl: 1008 imgIndex: 48 lvl: 1 val: 450 swing (0, 15) thrust (0, 0) size: 4 Human Armor Cat: (200)[Armor] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 95 df1: 6 minCond: 10}
 SPAM [BAK::ObjectIndex] ItmIndex:49 Object: { Valheru Armor fl: 1008 imgIndex: 49 lvl: 1 val: 0 swing (0, 70) thrust (0, 0) size: 4 Elf Armor Cat: (200)[Armor] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 10 df1: 1 minCond: 60}
 SPAM [BAK::ObjectIndex] ItmIndex:50 Object: { Potio Noxum fl: 2850 imgIndex: 50 lvl: 1 val: 550 swing (0, 0) thrust (0, 0) size: 1 None Ingredient Cat: (40)[UsableMundaneItem] useSound: 0 times: 0 stackSize: 8 defaultStackSize: 2 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:51 Object: { Powder Bag fl: 2850 imgIndex: 51 lvl: 1 val: 700 swing (0, 0) thrust (0, 0) size: 1 None Ingredient Cat: (40)[UsableMundaneItem] useSound: 0 times: 0 stackSize: 12 defaultStackSize: 6 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:52 Object: { Tuning Fork fl: 2040 imgIndex: 52 lvl: 1 val: 250 swing (0, 0) thrust (0, 0) size: 1 None Ingredient Cat: (40)[UsableMundaneItem] useSound: 0 times: 0 stackSize: 60 defaultStackSize: 60 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:53 Object: { Gold Sovereigns fl: 8000 imgIndex: 53 lvl: 1 val: 10 swing (0, 0) thrust (0, 0) size: 1 None Other Cat: (0)[] useSound: 0 times: 0 stackSize: 255 defaultStackSize: 255 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:54 Object: { Silver Royals fl: 8000 imgIndex: 54 lvl: 1 val: 1 swing (0, 0) thrust (0, 0) size: 1 None Other Cat: (0)[] useSound: 0 times: 0 stackSize: 255 defaultStackSize: 255 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:55 Object: { Diamonds fl: 1000 imgIndex: 55 lvl: 1 val: 30000 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (4)[PreciousGems] useSound: 0 times: 0 stackSize: 250 defaultStackSize: 100 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:56 Object: { Emeralds fl: 1000 imgIndex: 56 lvl: 1 val: 10000 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (4)[PreciousGems] useSound: 0 times: 0 stackSize: 250 defaultStackSize: 100 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:57 Object: { Rubies fl: 1000 imgIndex: 57 lvl: 1 val: 7500 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (4)[PreciousGems] useSound: 0 times: 0 stackSize: 250 defaultStackSize: 100 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:58 Object: { Shell fl: 1000 imgIndex: 58 lvl: 1 val: 100 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (7)[Utility,Rations,PreciousGems] useSound: 0 times: 0 stackSize: 250 defaultStackSize: 100 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:59 Object: { Moredhel Brooch fl: 1000 imgIndex: 59 lvl: 1 val: 2500 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (4)[PreciousGems] useSound: 0 times: 0 stackSize: 250 defaultStackSize: 100 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:60 Object: { Bag of Grain fl: 1000 imgIndex: 60 lvl: 1 val: 500 swing (0, 0) thrust (0, 0) size: 4 None Unspecified Cat: (1)[Utility] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:61 Object: { Peasant's Key fl: 0 imgIndex: 61 lvl: 1 val: 10 swing (0, 0) thrust (0, 0) size: 1 None Key Cat: (8)[Keys] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:62 Object: { Virtue Key fl: 0 imgIndex: 62 lvl: 1 val: 2000 swing (0, 0) thrust (0, 0) size: 1 None Key Cat: (8)[Keys] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:63 Object: { Key of Lineages fl: 0 imgIndex: 63 lvl: 1 val: 2000 swing (0, 0) thrust (0, 0) size: 1 None Key Cat: (8)[Keys] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:64 Object: { Cellar Key fl: 0 imgIndex: 64 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Key Cat: (8)[Keys] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:65 Object: { Nivek's Key fl: 0 imgIndex: 65 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Key Cat: (8)[Keys] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:66 Object: { Interdictor Key fl: 0 imgIndex: 66 lvl: 1 val: 3000 swing (0, 0) thrust (0, 0) size: 1 None Key Cat: (8)[Keys] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:67 Object: { Noble's Passkey fl: 0 imgIndex: 67 lvl: 1 val: 750 swing (0, 0) thrust (0, 0) size: 1 None Key Cat: (8)[Keys] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:68 Object: { Guilder's Passkey fl: 0 imgIndex: 68 lvl: 1 val: 250 swing (0, 0) thrust (0, 0) size: 1 None Key Cat: (8)[Keys] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:69 Object: { Guildis Thorn fl: 0 imgIndex: 69 lvl: 1 val: 1000 swing (0, 0) thrust (0, 0) size: 1 None Key Cat: (8)[Keys] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:70 Object: { Ward of Ralen-Sheb fl: 0 imgIndex: 70 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Key Cat: (8)[Keys] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
